,49 B off,,,,,49 B on,,,,,49 Z off,,,,,49 Z on,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
260,0,0,5,1,0,0,0,7,1,0,0,0,7,1,0,0,0,5,1,0
265,0,0,7,1,0,0,0,9,1,0,0,0,9,1,0,0,0,6,1,0
270,0,0,7,1,0,0,0,9,1,0,0,0,9,1,0,0,0,7,1,0
275,0,0,8,1,0,0,0,10,1,1,0,0,10,1,1,0,0,7,1,0
280,0,0,7,1,0,0,0,10,1,0,0,0,10,1,0,0,0,7,1,0
285,0,0,7,1,0,0,0,9,1,1,0,0,9,1,1,0,0,7,1,0
290,0,0,7,1,1,0,0,9,1,1,0,0,9,1,1,0,0,7,1,1
295,0,0,7,1,1,0,0,9,1,1,0,0,9,1,1,0,0,7,1,1
300,0,0,8,1,1,0,0,10,1,2,0,0,10,1,2,0,0,7,1,1
305,0,0,8,1,2,0,0,11,1,3,0,0,11,1,3,0,0,8,1,2
310,0,0,11,1,1,0,0,14,1,2,0,0,14,1,2,0,0,10,1,1
315,0,0,13,2,1,0,0,18,2,2,0,0,18,2,2,0,0,13,2,1
320,0,0,15,1,2,0,0,20,2,3,0,0,20,2,3,0,0,15,1,2
325,0,0,16,2,1,0,0,21,2,2,0,0,21,2,3,0,0,16,2,1
330,0,0,18,2,1,0,0,24,2,2,0,0,25,2,2,0,0,18,2,1
335,0,0,22,2,2,0,0,30,3,3,0,0,30,3,3,0,0,22,2,2
340,0,0,25,3,2,0,0,33,4,3,0,0,33,4,3,0,0,24,3,2
345,0,0,25,3,1,0,0,34,4,2,0,0,34,4,2,0,0,25,3,1
350,0,0,27,3,1,0,0,36,4,2,0,0,36,4,3,0,0,26,3,1
355,0,0,27,4,2,0,0,36,5,3,0,0,37,5,3,0,0,27,4,2
360,0,0,30,4,2,0,0,40,6,3,0,0,40,6,3,0,0,29,4,2
365,0,0,34,5,1,0,0,44,6,2,0,0,45,6,3,0,0,33,5,1
370,0,0,37,5,2,0,0,49,7,3,0,0,49,7,3,0,0,36,5,2
375,0,0,38,6,2,0,0,51,8,3,0,0,51,8,3,0,0,38,6,2
380,0,0,39,6,1,0,0,52,7,2,0,0,52,7,3,0,0,38,5,1
385,0,0,42,6,2,0,0,55,8,3,0,0,55,8,4,0,0,41,6,2
390,0,0,44,6,2,0,0,58,8,3,0,0,58,8,3,0,0,43,6,2
395,0,0,46,7,2,0,0,61,9,3,0,0,62,9,3,0,0,45,6,2
400,0,0,47,7,2,0,0,62,9,3,0,0,63,9,4,0,0,46,7,2
405,0,0,45,7,2,0,1,60,9,3,0,1,60,9,4,0,0,44,7,2
410,0,1,44,7,2,0,1,58,9,3,0,1,58,9,4,0,1,43,7,2
415,0,0,42,6,2,0,0,56,8,3,0,0,56,9,4,0,0,42,6,2
420,0,0,42,6,2,0,0,55,8,3,0,0,55,9,4,0,0,41,6,2
425,0,0,42,7,2,0,1,55,9,4,0,1,56,9,4,0,0,41,6,2
430,0,0,43,7,2,0,1,57,9,4,0,1,58,9,4,0,0,42,7,2
435,0,0,43,7,2,0,0,57,9,4,0,0,57,9,5,0,0,42,7,3
440,0,0,43,7,2,0,0,57,9,4,0,0,57,9,5,0,0,42,7,3
445,0,0,42,7,2,0,0,55,9,4,0,0,55,9,5,0,0,41,6,3
450,0,0,40,7,3,0,0,53,9,4,0,0,54,9,5,0,0,39,7,3
455,0,0,40,6,3,0,0,53,8,5,0,0,53,9,5,0,0,39,6,3
460,0,0,40,7,3,0,0,53,9,5,0,0,53,9,6,0,0,39,7,3
465,0,0,38,6,3,0,0,51,8,5,0,0,51,8,6,0,0,37,6,3
470,0,0,37,6,3,0,0,49,8,5,0,0,49,9,6,0,0,36,6,3
475,0,0,34,6,3,0,0,45,8,5,0,0,45,8,5,0,0,33,6,3
480,0,0,32,5,3,0,0,42,7,5,0,0,42,7,6,0,0,31,5,3
485,0,0,32,5,3,0,0,42,7,5,0,0,42,7,6,0,0,31,5,3
490,0,0,33,5,3,0,0,44,7,5,0,0,44,7,5,0,0,32,5,3
495,0,0,32,5,3,0,0,43,6,5,0,0,43,6,5,0,0,32,5,3
500,0,0,32,5,3,0,0,43,6,5,0,0,43,6,5,0,0,32,5,3
505,0,0,32,5,3,0,0,42,6,5,0,0,42,6,5,0,0,31,4,3
510,0,0,31,5,3,0,0,41,6,5,0,0,41,6,6,0,0,30,4,3
515,0,0,31,5,3,0,0,41,6,5,0,0,42,6,5,0,0,31,4,3
520,0,0,31,4,3,0,0,41,6,5,0,0,41,6,6,0,0,30,4,3
525,0,0,30,4,3,0,0,40,6,5,0,0,40,6,5,0,0,29,4,3
530,0,0,28,4,3,0,0,38,6,5,0,0,38,6,5,0,0,28,4,3
535,0,0,26,4,2,0,0,35,5,4,0,0,35,5,5,0,0,25,4,3
540,0,0,25,4,3,0,0,33,5,5,0,0,33,5,5,0,0,24,4,3
545,0,0,25,4,3,0,0,33,5,4,0,0,34,5,5,0,0,25,4,3
550,0,0,26,4,2,0,0,35,5,4,0,0,35,5,4,0,0,26,4,2
555,0,0,27,4,2,0,0,35,5,4,0,0,36,5,4,0,0,26,4,2
560,0,0,27,4,2,0,0,36,5,4,0,0,36,5,4,0,0,26,4,2
565,0,0,27,4,3,0,0,36,5,5,0,0,36,5,6,0,0,27,4,3
570,0,0,27,4,3,0,0,36,5,4,0,0,37,5,5,0,0,27,4,3
575,0,0,28,4,2,0,0,37,6,4,0,0,38,6,5,0,0,28,4,3
580,0,0,29,5,3,0,0,38,6,5,0,0,39,6,5,0,0,28,5,3
585,0,0,29,4,3,0,0,38,6,5,0,0,38,6,5,0,0,28,4,3
590,0,0,28,4,3,0,0,37,6,5,0,0,37,6,5,0,0,27,4,3
595,0,0,27,4,3,0,0,35,5,5,0,0,35,5,6,0,0,26,4,3
600,0,0,26,4,3,0,0,35,6,5,0,0,35,6,6,0,0,26,4,3
605,0,0,27,4,3,0,0,36,5,5,0,0,36,5,5,0,0,27,4,3
610,0,0,28,4,3,0,0,37,6,5,0,0,37,6,6,0,0,27,4,3
615,0,0,28,4,3,0,0,37,6,5,0,0,37,6,5,0,0,27,4,3
620,0,0,28,4,3,0,0,37,6,5,0,0,37,6,6,0,0,27,4,3
625,0,0,28,4,3,0,0,37,6,5,0,0,37,6,5,0,0,27,4,3
630,0,0,28,4,3,0,0,37,6,5,0,0,37,6,5,0,0,27,4,3
635,0,0,29,4,3,0,0,38,6,5,0,0,38,6,5,0,0,28,4,3
640,0,0,29,4,3,0,0,38,6,5,0,0,39,6,6,0,0,28,4,3
645,0,0,28,4,3,0,0,37,6,5,0,0,37,6,6,0,0,27,4,3
650,0,0,28,4,3,0,0,37,6,5,0,0,37,6,6,0,0,27,4,3
655,0,0,27,4,3,0,0,36,5,5,0,0,36,5,6,0,0,26,4,3
660,0,0,27,4,3,0,0,36,5,4,0,0,36,5,5,0,0,26,4,3
665,0,0,28,4,3,0,0,37,6,5,0,0,37,6,5,0,0,27,4,3
670,0,0,29,4,3,0,0,38,6,5,0,0,39,6,5,0,0,28,4,3
675,0,0,29,5,3,0,0,39,6,4,0,0,39,6,5,0,0,29,4,3
680,0,0,29,5,3,0,0,39,6,4,0,0,39,6,5,0,0,29,4,3
685,0,0,29,4,3,0,0,38,5,4,0,0,38,5,5,0,0,28,4,3
690,0,0,29,4,3,0,0,38,6,5,0,0,38,6,5,0,0,28,4,3
695,0,0,30,4,2,0,0,40,5,4,0,0,40,5,5,0,0,30,4,3
700,0,0,30,4,2,0,0,40,6,4,0,0,40,6,5,0,0,30,4,3
705,0,0,30,5,2,0,0,40,6,4,0,0,40,6,5,0,0,29,4,3
710,0,0,31,4,2,0,0,41,6,4,0,0,41,6,5,0,0,30,4,3
715,0,0,30,4,2,0,0,40,6,4,0,0,40,6,5,0,0,29,4,3
720,0,0,32,4,2,0,0,42,5,4,0,0,42,5,4,0,0,31,4,2
725,0,0,35,4,2,0,0,46,5,3,0,0,47,5,4,0,0,34,4,2
730,0,0,34,4,2,0,1,45,5,3,0,1,45,5,3,0,0,33,4,2
735,0,0,32,3,2,0,0,43,5,3,0,0,43,5,3,0,0,31,3,2
740,0,0,31,3,2,0,0,41,5,3,0,0,41,5,4,0,0,30,3,2
745,0,0,29,3,2,0,0,39,5,3,0,0,39,5,3,0,0,29,3,2
750,0,0,28,3,2,0,0,38,4,3,0,0,38,4,3,0,0,28,3,2
755,0,0,29,4,2,0,0,39,5,3,0,0,39,5,3,0,0,29,4,2
760,0,0,30,4,2,0,0,40,5,3,0,0,40,5,4,0,0,29,4,2
765,0,0,30,4,2,0,0,40,5,3,0,0,40,5,4,0,0,30,4,2
770,0,0,31,4,2,0,1,41,5,3,0,1,41,5,4,0,0,30,4,2
775,0,0,31,4,2,0,0,41,5,4,0,0,41,5,4,0,0,30,4,2
780,0,0,31,4,2,0,0,41,6,4,0,0,42,6,4,0,0,31,4,2
785,0,0,33,5,2,0,0,44,6,4,0,0,44,6,5,0,0,32,4,3
790,0,0,35,5,3,0,1,46,6,5,0,1,47,6,5,0,0,34,5,3
795,0,0,36,5,3,0,1,48,6,4,0,1,48,6,5,0,0,35,5,3
800,0,0,37,5,3,0,1,48,6,4,0,1,49,6,5,0,0,36,5,3
805,0,0,35,5,3,0,0,46,6,5,0,0,46,6,5,0,0,34,4,3
810,0,0,34,5,3,0,1,45,6,5,0,1,45,6,5,0,0,33,4,3
815,0,0,35,5,3,0,1,46,6,5,0,1,46,6,5,0,0,34,5,3
820,0,1,36,5,3,0,1,47,6,5,0,1,47,6,6,0,1,35,4,3
825,0,0,36,4,3,0,1,47,6,5,0,1,48,6,5,0,0,35,4,3
830,0,1,34,5,3,0,1,46,6,5,0,1,46,6,6,0,1,34,5,3
835,0,1,33,4,3,0,1,44,6,5,0,1,44,6,6,0,1,32,4,3
840,0,0,33,4,3,0,1,44,6,5,0,1,44,6,6,0,0,32,4,3
845,0,1,34,4,3,0,1,45,6,5,0,1,45,6,6,0,1,33,4,3
850,0,1,34,4,3,0,1,46,6,5,0,1,46,6,6,0,1,34,4,3
855,0,0,35,5,3,0,1,47,6,5,0,1,47,6,5,0,0,34,4,3
860,0,1,36,4,3,0,1,48,6,5,0,1,48,6,6,0,1,35,4,3
865,0,1,35,5,3,0,1,47,6,5,0,1,47,6,6,0,1,34,5,3
870,0,1,35,5,3,0,1,47,6,5,0,1,47,6,6,0,1,34,5,3
875,0,1,36,5,3,0,1,48,6,5,0,1,48,6,6,0,1,35,4,3
880,0,1,36,5,3,0,1,48,6,5,0,1,48,6,6,0,1,35,5,3
885,0,1,36,5,3,0,1,47,6,5,0,1,47,6,5,0,1,35,5,3
890,0,0,36,5,3,0,1,47,6,5,0,1,47,6,5,0,0,35,4,3
895,0,1,35,5,3,0,1,46,6,5,0,1,46,6,5,0,1,34,5,3
900,0,1,35,5,3,0,1,46,6,5,0,1,47,6,5,0,1,34,5,3
905,0,1,36,5,3,0,1,48,6,4,0,1,48,6,5,0,1,35,5,3
910,0,1,37,5,3,0,1,49,7,5,0,1,49,7,5,0,1,36,5,3
915,0,1,38,5,3,0,1,50,7,5,0,1,50,7,5,0,1,37,5,3
920,0,1,39,5,3,0,1,51,7,4,0,1,51,7,5,0,1,38,5,3
925,0,1,39,5,3,0,1,51,7,4,0,1,51,7,5,0,1,38,5,3
930,0,1,39,5,3,0,1,52,7,4,0,1,52,7,5,0,1,38,5,3
935,0,1,40,5,3,0,1,54,7,4,0,1,54,7,5,0,1,40,5,3
940,0,1,41,5,3,0,1,55,7,4,0,1,55,7,5,0,1,40,5,3
945,0,1,42,5,2,0,1,55,7,4,0,1,55,7,4,0,1,41,5,2
950,0,1,42,6,2,0,1,56,8,4,0,1,56,8,4,0,1,41,6,2
955,0,1,42,6,2,0,1,55,8,3,0,1,56,8,4,0,1,41,6,2
960,0,1,42,6,2,0,1,56,8,3,0,1,56,8,4,0,1,41,6,2
965,0,1,44,6,2,0,1,58,8,3,0,1,59,8,4,0,1,43,6,2
970,0,1,46,6,2,0,1,61,8,3,0,1,61,8,3,0,1,45,6,2
975,0,1,48,6,2,0,1,64,8,3,0,1,64,8,3,0,1,47,6,2
980,0,1,49,6,2,0,1,64,8,3,0,1,65,8,3,0,1,47,6,2
985,0,1,49,6,2,0,1,65,8,3,0,1,65,8,3,0,1,48,6,2
990,0,1,49,6,1,0,1,65,8,2,0,1,65,8,2,0,1,48,6,1
995,0,1,49,6,1,0,1,65,8,2,0,1,66,8,2,0,1,48,6,1
1000,0,1,50,6,1,0,1,67,8,2,0,1,67,8,2,0,1,49,6,1
1005,0,1,51,6,1,0,1,67,8,2,0,1,67,8,2,0,1,49,6,1
1010,0,1,50,6,1,0,1,67,8,2,0,1,67,8,2,0,1,49,6,1
1015,0,1,51,6,1,0,1,67,8,2,0,1,67,8,2,0,1,50,6,1
1020,0,1,51,6,1,0,1,67,8,2,0,1,68,8,2,0,1,50,6,1
1025,0,1,53,6,1,0,1,70,8,2,0,1,70,8,2,0,1,51,6,1
1030,0,1,54,6,1,0,1,72,8,1,0,1,72,8,2,0,1,53,6,1
1035,0,1,54,5,1,0,1,72,7,1,0,1,72,7,1,0,1,53,5,1
1040,0,1,54,5,1,0,1,72,7,1,0,1,72,7,1,0,1,53,5,1
1045,0,1,54,5,1,0,1,72,7,1,0,1,72,7,1,0,1,53,5,1
1050,0,1,54,5,0,0,1,71,7,1,0,1,71,7,1,0,1,52,5,0
1055,0,1,54,5,0,0,1,71,6,1,0,1,71,6,1,0,1,52,5,0
1060,0,1,53,5,0,0,1,70,6,1,0,1,70,6,1,0,1,52,4,0
1065,0,1,51,4,0,0,1,68,6,1,0,1,68,6,1,0,1,50,4,0
1070,0,1,50,4,0,0,1,66,5,1,0,1,66,5,1,0,1,49,4,0
1075,0,1,48,4,0,0,1,63,5,0,0,1,64,5,0,0,1,47,4,0
1080,0,1,47,4,0,0,1,62,5,1,0,1,62,5,1,0,1,46,4,0
1085,0,1,47,4,0,0,1,62,5,1,0,1,62,5,1,0,1,46,4,0
1090,0,1,47,4,0,0,1,62,5,0,0,1,62,5,0,0,1,46,4,0
1095,0,1,45,3,0,0,1,59,4,0,0,1,59,4,0,0,1,44,3,0
1100,0,1,44,3,0,0,1,58,4,0,0,1,58,4,0,0,1,43,3,0
1105,0,1,42,3,0,0,1,55,4,1,0,1,55,4,1,0,1,41,3,0
1110,0,1,40,3,0,0,1,53,4,0,0,1,53,4,0,0,1,39,3,0
1115,0,1,39,3,0,0,1,52,4,0,0,1,53,4,0,0,1,39,3,0
1120,0,1,40,3,0,0,1,53,4,0,0,1,53,4,0,0,1,39,3,0
1125,0,1,38,3,0,0,1,51,4,0,0,1,51,4,0,0,1,38,3,0
1130,0,1,37,3,0,0,1,49,4,0,0,1,49,4,0,0,1,36,3,0
1135,0,1,34,2,0,0,1,45,3,0,0,1,45,3,0,0,1,33,2,0
1140,0,1,32,2,0,0,1,43,3,0,0,1,43,3,0,0,1,32,2,0
1145,0,0,31,2,0,0,1,42,3,0,0,1,42,3,0,0,0,31,2,0
1150,0,0,32,2,0,0,1,42,3,0,0,1,43,3,0,0,0,31,2,0
1155,0,0,31,2,0,0,0,41,3,0,0,0,41,3,0,0,0,30,2,0
1160,0,0,29,2,0,0,0,38,3,0,0,0,39,3,0,0,0,28,2,0
1165,0,0,28,2,0,0,0,37,3,0,0,0,37,3,0,0,0,27,2,0
1170,0,0,26,2,0,0,0,34,3,0,0,0,34,3,0,0,0,25,2,0
1175,0,0,25,2,0,0,0,33,3,0,0,0,33,3,0,0,0,24,2,0
1180,0,0,25,2,0,0,0,33,2,0,0,0,33,2,0,0,0,25,2,0
1185,0,0,23,2,0,0,0,31,2,0,0,0,31,2,0,0,0,23,2,0
1190,0,0,22,2,0,0,0,29,2,0,0,0,29,2,0,0,0,22,2,0
1195,0,0,21,2,0,0,0,27,2,0,0,0,28,2,0,0,0,20,2,0
1200,0,0,20,1,0,0,0,26,2,0,0,0,26,2,0,0,0,19,1,0
1205,0,0,20,1,0,0,0,26,2,0,0,0,26,2,0,0,0,19,1,0
1210,0,0,20,1,0,0,0,27,2,0,0,0,27,2,0,0,0,20,1,0
1215,0,0,20,1,0,0,0,26,2,0,0,0,26,2,0,0,0,19,1,0
1220,0,0,19,1,0,0,0,25,2,0,0,0,25,2,0,0,0,18,1,0
1225,0,0,19,1,0,0,0,25,2,0,0,0,25,2,0,0,0,18,1,0
1230,0,0,18,2,0,0,0,24,2,0,0,0,24,2,0,0,0,17,2,0
1235,0,0,18,2,0,0,0,24,2,0,0,0,24,2,0,0,0,17,2,0
1240,0,0,17,2,0,0,0,23,2,0,0,0,23,2,0,0,0,17,2,0
1245,0,0,17,1,0,0,0,22,2,0,0,0,22,2,0,0,0,16,1,0
1250,0,0,16,1,0,0,0,21,2,0,0,0,21,2,0,0,0,16,1,0
1255,0,0,16,1,0,0,0,21,2,0,0,0,21,2,0,0,0,16,1,0
1260,0,0,16,2,0,0,0,21,2,0,0,0,21,2,0,0,0,15,2,0
1265,0,0,16,2,0,0,0,21,2,0,0,0,21,2,0,0,0,15,2,0
1270,0,0,16,1,0,0,0,21,2,0,0,0,21,2,0,0,0,16,1,0
1275,0,0,16,2,0,0,0,22,2,0,0,0,22,2,0,0,0,16,2,0
1280,0,0,16,1,0,0,0,21,2,0,0,0,21,2,0,0,0,16,1,0
1285,0,0,16,1,0,0,0,21,1,0,0,0,21,1,0,0,0,15,1,0
1290,0,0,15,1,0,0,0,20,2,0,0,0,21,2,0,0,0,15,1,0
1295,0,0,15,1,0,0,0,20,2,0,0,0,21,2,0,0,0,15,1,0
1300,0,0,15,1,0,0,0,20,2,0,0,0,20,2,0,0,0,15,1,0
1305,0,0,15,1,0,0,0,20,1,0,0,0,20,1,0,0,0,15,1,0
1310,0,0,15,1,0,0,0,19,1,0,0,0,20,1,0,0,0,14,1,0
1315,0,0,15,1,0,0,0,20,2,0,0,0,20,2,0,0,0,15,1,0
1320,0,0,15,1,0,0,0,19,1,0,0,0,20,1,0,0,0,14,1,0
1325,0,0,15,1,0,0,0,20,1,0,0,0,20,1,0,0,0,15,1,0
1330,0,0,15,1,0,0,0,20,1,0,0,0,21,1,0,0,0,15,1,0
1335,0,0,16,1,0,0,0,21,1,0,0,0,21,1,0,0,0,15,1,0
1340,0,0,16,1,0,0,0,21,1,0,0,0,21,1,0,0,0,15,1,0
1345,0,0,16,1,0,0,0,21,1,0,0,0,21,1,0,0,0,15,1,0
1350,0,0,14,1,0,0,0,19,1,0,0,0,19,1,0,0,0,14,1,0
1355,0,0,14,1,0,0,0,19,1,0,0,0,19,1,0,0,0,14,1,0
1360,0,0,13,1,0,0,0,17,1,0,0,0,17,1,0,0,0,13,1,0
1365,0,0,12,1,0,0,0,16,1,0,0,0,16,1,0,0,0,12,1,0
1370,0,0,12,1,0,0,0,15,1,0,0,0,15,1,0,0,0,11,1,0
1375,0,0,11,1,0,0,0,15,1,0,0,0,15,1,0,0,0,11,1,0
1380,0,0,11,1,0,0,0,14,1,0,0,0,14,1,0,0,0,11,1,0
1385,0,0,10,1,0,0,0,14,1,0,0,0,14,1,0,0,0,10,1,0
1390,0,0,10,2,0,0,0,13,2,0,0,0,13,2,0,0,0,10,2,0
1395,0,0,10,2,0,0,0,13,2,0,0,0,13,2,0,0,0,10,2,0
1400,0,0,10,2,0,0,0,13,2,0,0,0,13,2,0,0,0,9,2,0
1405,0,0,9,2,0,0,0,12,2,0,0,0,12,2,0,0,0,9,2,0
1410,0,0,8,1,0,0,0,11,2,0,0,0,11,2,0,0,0,8,1,0
1415,0,0,8,1,0,0,0,10,1,0,0,0,10,1,0,0,0,7,1,0
1420,0,0,7,1,0,0,0,10,1,0,0,0,10,1,0,0,0,7,1,0
1425,0,0,7,1,0,0,0,9,1,0,0,0,9,1,0,0,0,7,1,0
1430,0,0,7,1,0,0,0,9,1,0,0,0,9,1,0,0,0,6,1,0
1435,0,0,6,1,0,0,0,8,1,0,0,0,8,1,0,0,0,6,1,0
